Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
New Jersey,US,2/9/2021 5:30,40.2989,-74.521,724728,22011,70208,632509,34,8159.339082,9723639,,3.037139451,84000034,USA,109473.4407,,2/8/2021,,
New Mexico,US,2/9/2021 5:30,34.8405,-106.2485,177867,3412,112051,62404,35,8482.665968,2439850,,1.91828726,84000035,USA,116359.0355,,2/8/2021,,
New York,US,2/9/2021 5:30,42.1657,-74.9481,1489196,44781,133470,1310945,36,7655.133166,33695650,,3.007058842,84000036,USA,173210.7042,,2/8/2021,,
North Carolina,US,2/9/2021 5:30,35.6301,-79.8064,799279,9991,730454,58834,37,7620.829505,9326844,,1.250001564,84000037,USA,8.8928E-06,,2/8/2021,,
North Dakota,US,2/9/2021 5:30,47.5289,-99.784,97850,1454,95991,739,38,12883.99107,1364158,,1.480893017,84000038,USA,179008.7946,,2/8/2021,,
Northern Mariana Islands,US,2/9/2021 5:30,15.0979,145.6739,133,2,29,102,69,241.1867112,17562,,1.503759398,580,MNP,31847.52648,,2/8/2021,,
Ohio,US,2/9/2021 5:30,40.3888,-82.7649,922143,17881,828455,75802,39,7888.913603,11019441,,1.939612403,84000039,USA,9.42711E-06,,2/8/2021,,
Oklahoma,US,2/9/2021 5:30,35.5653,-96.9289,405839,3817,374950,27072,40,10256.30463,3294529,,0.940520748,84000040,USA,83258.86139,,2/8/2021,,
Oregon,US,2/9/2021 5:30,44.572,-122.0709,147419,2024,,,41,3495.215562,3271481,,1.372957353,84000041,USA,77564.84105,,2/8/2021,,
Pennsylvania,US,2/9/2021 5:30,40.5908,-77.2098,881186,22489,735763,122934,42,6883.196041,9459462,,2.552128608,84000042,USA,73890.56497,,2/8/2021,,
Puerto Rico,US,2/9/2021 5:30,18.2208,-66.5901,96161,1888,84983,9290,72,3010.964732,1606874,,1.963373925,630,PRI,50313.96245,,2/8/2021,,
Rhode Island,US,2/9/2021 5:30,41.6809,-71.5118,119104,2420,7354,109330,44,11243.00404,2667850,,2.031837722,84000044,USA,251835.7765,,2/8/2021,,
South Carolina,US,2/9/2021 5:30,33.8569,-80.945,468403,7690,208593,252120,45,9097.475603,4494804,,1.641748665,84000045,USA,87299.54703,,2/8/2021,,
South Dakota,US,2/9/2021 5:30,44.2998,-99.4388,109283,1809,105166,2308,46,12353.12137,661963,,1.655335231,84000046,USA,7.48269E-06,,2/8/2021,,
